time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2023-10-14 17:16:25.562 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,246513799168,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1697303784909, , , , ,3145728,1218, , , ,12,4,34,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,27242496, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:17:03.931 UTC, ,125,3165653,1312,19800, , ,4, ,9, , , , , , , , , ,4,4, , , , ,1,5, ,3, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,246513790976,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1697303784909, , , , ,3145728,1604, , , ,7,3,21,3,2,3, , ,3,4, , , , , , , , , , , ,4096,2,365,3, , , , , , , , ,27242496, , , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , 
2023-10-14 17:21:34.208 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304093231, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:22:30.972 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304093231, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:23:24.155 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304203335, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:24:06.764 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304203335, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:26:09.576 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304368834, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:26:35.132 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304368834, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:26:59.879 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,-1,-1, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304419077, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:27:14.204 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513786880,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304419077, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
